City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Oskemen,40,KZ,1659930398,55,49.9565,82.6119,67.96,4.47
Mackay,0,AU,1659930329,62,-21.15,149.2,76.68,15.14
Chase,0,CA,1659930399,58,50.8165,-119.6857,80.78,2.19
Mar del Plata,100,AR,1659929782,84,-38.0023,-57.5575,47.08,10.0
Valera,76,VE,1659930399,85,9.3178,-70.6036,70.88,5.84
Batagay,54,RU,1659930006,47,67.6333,134.6333,72.93,7.0
Savannah Bight,88,HN,1659930399,80,16.45,-85.85,82.08,19.04
Manutuke,82,NZ,1659930400,79,-38.6833,177.9167,55.89,6.93
Nuevo Progreso,6,MX,1659930400,67,23.1667,-97.95,79.54,2.66
Broome,0,US,1659930007,86,42.2506,-75.833,77.38,6.91
Caravelas,5,BR,1659929729,76,-17.7125,-39.2481,72.93,9.98
Karratha,5,AU,1659930034,17,-20.7377,116.8463,78.04,6.6
Makkah al Mukarramah,34,SA,1659930356,58,21.4267,39.8261,85.62,3.98
DeKalb County,0,US,1659930401,81,33.7504,-84.2333,78.46,4.61
Acapulco de Juárez,75,MX,1659929828,74,16.8634,-99.8901,84.02,6.91
Aklavik,75,CA,1659930401,65,68.2191,-135.0107,56.79,7.52
Oddur,62,SO,1659930402,75,4.1213,43.8894,68.18,20.38
Shenjiamen,7,CN,1659930061,79,29.9576,122.298,84.49,19.04
Kungurtug,71,RU,1659930402,25,50.5994,97.5228,73.92,2.21
Gigmoto,100,PH,1659930403,76,13.7796,124.39,82.54,2.64
Pindiga,100,NG,1659930403,95,9.9833,10.9333,70.41,3.94
Mâncio Lima,0,BR,1659930403,100,-7.6142,-72.8958,75.27,2.3
Kumluca,0,TR,1659930407,60,36.3703,30.2869,79.52,2.55
Tautira,67,PF,1659930408,72,-17.7333,-149.15,74.61,24.4
Kultuk,0,RU,1659930408,57,51.7208,103.6956,66.36,3.65
Berbera,83,SO,1659930408,41,10.4396,45.0143,88.86,23.49
Saint-François,0,FR,1659930076,76,46.4154,3.9054,54.68,0.0
Kiunga,72,PG,1659930042,65,-6.1219,141.2906,86.76,3.6
Xi'an,100,CN,1659930206,37,34.2583,108.9286,94.01,4.32
Xique-Xique,8,BR,1659930409,49,-10.8218,-42.7263,75.43,18.41
Lucapa,99,AO,1659930409,34,-8.4192,20.7447,62.06,5.1
Lorengau,92,PG,1659930070,73,-2.0226,147.2712,83.8,9.84
Agüimes,40,ES,1659930410,83,27.9054,-15.4461,68.67,25.32
Nishihara,40,JP,1659930410,70,26.1842,127.7558,91.45,11.5
Santa Cruz de la Sierra,100,BO,1659930410,94,-17.8,-63.1667,69.26,2.3
Shinpokh,17,PK,1659930411,62,34.3292,71.1782,83.61,5.75
Rapid City,0,US,1659929832,74,44.0805,-103.231,70.14,4.61
Verāval,99,IN,1659930015,83,20.9,70.3667,83.23,8.59
Luebo,62,CD,1659930411,39,-5.35,21.4167,69.46,2.35
Mil'kovo,38,RU,1659930412,46,54.7167,158.6167,81.7,2.08
Sinnamary,97,GF,1659930412,77,5.3833,-52.95,79.48,9.28
Itarema,5,BR,1659929718,83,-2.9248,-39.9167,76.8,15.73
Nong Khae,100,TH,1659930412,88,14.3406,100.8673,79.27,5.82
Jiazi,85,CN,1659930413,75,22.8779,116.067,84.65,13.22
Selma,0,US,1659930413,43,36.5708,-119.6121,91.45,3.44
San Cristobal,95,VE,1659930413,97,7.7669,-72.225,73.58,2.44
Port-Gentil,99,GA,1659930018,81,-0.7193,8.7815,73.15,13.0
Berëzovka,13,BY,1659930414,84,53.7214,25.4993,54.75,3.15
Laja,22,CL,1659930414,98,-37.2667,-72.7,40.64,0.94
Villarrica,100,PY,1659930414,98,-25.75,-56.4333,56.41,3.96
Makakilo City,0,US,1659930415,60,21.3469,-158.0858,83.95,14.97
Les Cayes,21,HT,1659930415,81,18.2,-73.75,79.65,3.36
Caxito,9,AO,1659930416,97,-8.5785,13.6643,62.89,0.81
Zhengjiatun,26,CN,1659930416,48,43.5064,123.5064,76.37,10.74
Nador,0,MA,1659930404,83,35.174,-2.9287,77.25,2.3
Pak Phanang,100,TH,1659930417,60,8.3511,100.202,91.42,4.12
Arlit,96,NE,1659930417,36,18.7369,7.3853,90.75,11.18
Jaru,58,BR,1659930417,61,-10.4389,-62.4664,78.04,1.45
Gijang,100,KR,1659930418,65,35.2442,129.2139,89.33,17.69
Hay River,82,CA,1659930418,67,60.8156,-115.7999,62.58,2.3
Karlskrona,100,SE,1659930418,83,56.1616,15.5866,55.85,5.75
Kirovskiy,70,RU,1659930419,64,45.0917,133.5136,78.33,13.42
Ahipara,3,NZ,1659930039,79,-35.1667,173.1667,59.68,6.22
Ponta Delgada,40,PT,1659930419,88,37.7333,-25.6667,70.52,1.14
Margate,10,GB,1659929785,86,51.3813,1.3862,59.31,3.33
Cap-aux-Meules,100,CA,1659930420,73,47.3821,-61.8597,69.82,20.71
Zhigansk,65,RU,1659929790,67,66.7697,123.3711,59.18,13.76
Azare,100,NG,1659930420,89,11.6765,10.1948,73.26,4.18
Awjilah,0,LY,1659930098,70,29.1081,21.2869,77.02,8.72
Palkino,100,RU,1659930420,72,57.5409,28.0126,51.55,2.71
Kharp,0,RU,1659930421,47,66.8014,65.8081,77.63,4.72
Sioux Lookout,75,CA,1659930058,82,50.1001,-91.917,57.27,0.0
Alugan,64,PH,1659930421,72,12.2188,125.4808,83.37,4.43
Palembang,40,ID,1659930421,70,-2.9167,104.7458,86.09,5.75
Bose,98,IT,1659930422,84,45.4612,8.0137,67.23,4.0
Eufaula,0,US,1659930422,95,31.8913,-85.1455,75.24,0.0
Samarai,46,PG,1659930107,73,-10.6167,150.6667,81.12,12.73
Malakal,100,SS,1659930423,98,9.5334,31.6605,71.53,3.69
Wanning,100,CN,1659930423,83,18.8003,110.3967,83.73,7.9
Sistranda,98,NO,1659930424,88,63.7256,8.834,53.56,11.14
Talnakh,100,RU,1659930424,92,69.4865,88.3972,58.21,5.57
Prince Rupert,100,CA,1659930311,85,54.3161,-130.3201,59.09,16.11
Pacific Grove,0,US,1659930084,82,36.6177,-121.9166,67.8,9.22
Ranot,100,TH,1659930425,68,7.7777,100.3213,83.86,4.56
Pamplona,0,ES,1659930425,68,42.8169,-1.6432,67.98,1.99
Nova Olinda do Norte,28,BR,1659930425,71,-3.8881,-59.0942,76.51,1.72
Honiara,94,SB,1659930426,78,-9.4333,159.95,82.11,1.95
Tsimmerbude,96,RU,1659930426,76,54.675,20.1347,56.97,4.76
Aitape,56,PG,1659930426,78,-3.1374,142.3475,83.41,8.61
Kushima,58,JP,1659929987,59,31.4583,131.2333,91.06,8.03
Orcopampa,5,PE,1659930427,44,-15.2661,-72.3417,40.44,2.84
Key Largo,49,US,1659930284,75,25.0865,-80.4473,82.99,14.92
Flin Flon,74,CA,1659930427,77,54.7682,-101.865,64.54,6.76
Guánica,99,PR,1659930428,83,17.9716,-66.908,83.05,7.7
Santa Margherita Ligure,86,IT,1659930428,83,44.3346,9.212,75.04,1.99
Resistencia,100,AR,1659930418,88,-27.4606,-58.9839,58.1,6.91
Kristiansund,100,NO,1659930429,94,63.1115,7.732,55.45,11.5
Manaure,26,CO,1659930429,74,11.7751,-72.4445,81.37,12.41
Grindavik,75,IS,1659930020,93,63.8424,-22.4338,49.95,17.27
Chimoio,0,MZ,1659930429,82,-19.1164,33.4833,57.06,2.28
Rincon,40,US,1659930430,89,32.296,-81.2354,81.86,4.61
Rome,20,US,1659930308,89,43.2128,-75.4557,78.08,3.44
Esik,99,KZ,1659930430,55,43.3552,77.4525,71.02,7.43
La Libertad,100,EC,1659930430,85,-2.2333,-80.9,68.83,8.39
Padang,20,ID,1659929993,66,-0.9492,100.3543,84.25,4.61
Río Gallegos,100,AR,1659930431,81,-51.6226,-69.2181,37.45,17.27
Kralendijk,46,BQ,1659930255,78,12.15,-68.2667,82.38,10.36
Launceston,11,AU,1659930347,59,-41.45,147.1667,56.61,3.44
Puerto Cabezas,94,NI,1659930432,90,14.0351,-83.3888,78.35,10.54
Corinth,0,GR,1659930432,59,37.9407,22.9573,81.9,13.24
Cockburn Town,100,TC,1659929955,88,21.4612,-71.1419,81.84,22.41
Līvāni,100,LV,1659930432,85,56.3543,26.1758,55.71,3.36
Damietta,0,EG,1659930433,70,31.4165,31.8133,75.09,4.61
Liverpool,22,GB,1659930060,88,53.4106,-2.9779,58.28,2.3
Grimshaw,75,CA,1659930262,46,56.1834,-117.6027,69.42,17.27
Conceição da Barra,37,BR,1659930433,85,-18.5933,-39.7322,71.04,8.39
Nioki,19,CD,1659930434,65,-2.7167,17.6833,74.23,3.11
Songea,3,TZ,1659930434,79,-10.6833,35.65,51.28,1.88
Maku,0,IR,1659930434,69,39.2911,44.4521,69.58,3.13
Nurobod,3,UZ,1659930435,22,40.9056,69.8023,87.33,3.87
Aguçadoura,22,PT,1659930435,95,41.4318,-8.7804,65.32,2.28
Mocuba,2,MZ,1659930435,97,-16.8392,36.9856,59.2,2.8
Klyuchi,10,RU,1659930021,52,52.2667,79.1667,73.36,6.49
Sobolevo,13,RU,1659930436,92,54.4299,31.8996,53.11,6.62
Falkenberg,96,SE,1659930436,93,56.9055,12.4912,59.27,7.16
Lagdo,100,CM,1659930436,97,9.05,13.7333,71.37,3.2
Port Pirie,0,AU,1659930437,43,-33.1833,138.0167,59.68,5.82
Ritchie,0,ZA,1659930437,69,-29.038,24.6028,42.01,9.44
Kailua,20,US,1659930437,69,21.4022,-157.7394,85.41,11.5
Gravelbourg,3,CA,1659930438,36,49.8834,-106.5512,68.27,2.93
Okakarara,50,NA,1659930438,49,-20.5833,17.4333,52.32,4.85
Lukovetskiy,8,RU,1659930438,68,64.2956,41.9211,57.92,6.04
Dvinskoy,100,RU,1659930439,87,62.1535,45.1175,58.68,5.01
Oktyabr'skoye,69,RU,1659930040,100,43.0645,44.7417,62.74,4.47
Alcañiz,21,ES,1659930439,62,41.05,-0.1333,75.42,2.13
La Primavera,6,CO,1659930440,83,5.4906,-70.4092,76.6,2.86
Río Cauto,8,CU,1659930440,84,20.5603,-76.9161,78.44,11.14
Haveli Lakha,97,PK,1659930440,78,30.4502,73.6989,81.18,6.71
Coyhaique,75,CL,1659930005,87,-45.5752,-72.0662,36.21,3.44
Sahuaripa,100,MX,1659930441,88,29.05,-109.2333,71.13,5.73
Linhares,30,BR,1659930441,94,-19.3911,-40.0722,68.27,4.76
Eureka,67,US,1659929773,89,40.8021,-124.1637,65.68,1.39
Rio Grande,100,BR,1659930078,80,-32.035,-52.0986,53.94,14.85
Havre-St-Pierre,0,CA,1659930442,58,50.2334,-63.5986,59.36,11.5
Salinas,0,US,1659930442,74,36.6777,-121.6555,66.81,9.22
Huarmey,89,PE,1659930086,84,-10.0681,-78.1522,62.24,9.48
Dunedin,87,NZ,1659930012,55,-45.8742,170.5036,41.81,8.99
Havelock,0,US,1659929805,87,34.8791,-76.9013,84.18,4.61
Asilah,14,MA,1659930443,84,35.465,-6.0348,73.36,4.94
Ternate,84,ID,1659930011,74,0.8,127.4,82.02,5.28
Kitaibaraki,74,JP,1659930443,68,36.7833,140.75,91.15,12.37
Haines Junction,89,CA,1659930004,47,60.7522,-137.5108,58.95,12.66
Betanzos,0,ES,1659930443,79,43.2804,-8.2147,68.65,0.0
Lianran,93,CN,1659930444,69,24.9227,102.485,70.34,2.86
Galveston,40,US,1659930342,84,29.3669,-94.9669,85.96,9.22
Ranong,100,TH,1659930444,81,9.9658,98.6348,85.93,11.97
Omboué,99,GA,1659930034,79,-1.5746,9.2618,70.93,7.16
Ejido Ixcatepec,3,MX,1659930445,86,21.2,-97.95,72.64,4.97
Lae,34,PG,1659930445,64,-6.7221,146.9847,84.87,9.44
Joshīmath,100,IN,1659930445,66,30.5667,79.5667,76.24,0.76
Julfa,0,AZ,1659930446,61,38.9558,45.6308,76.87,4.76
Richards Bay,60,ZA,1659929809,86,-28.783,32.0377,67.01,11.7
Bahía Blanca,75,AR,1659930446,93,-38.7196,-62.2724,39.72,11.5
Bloomingdale,0,US,1659930447,94,27.8936,-82.2404,80.46,3.44
Rabo de Peixe,40,PT,1659930087,88,37.8,-25.5833,71.11,4.61
Luwuk,62,ID,1659930447,78,-0.9516,122.7875,82.65,6.8
Moose Factory,0,CA,1659930436,76,51.2585,-80.6094,55.38,5.75
Flinders,43,AU,1659929996,67,-34.5833,150.8552,61.05,14.88
Barra,28,BR,1659930448,49,-11.0894,-43.1417,72.95,7.85
Bar Harbor,0,US,1659930448,89,44.3876,-68.2039,77.45,6.91
Zhangye,53,CN,1659930448,30,38.9342,100.4517,81.37,11.12
Alofi,2,NU,1659930052,78,-19.0595,-169.9187,78.69,11.5
Great Yarmouth,33,GB,1659930449,81,52.6083,1.7305,57.45,5.35
Moberly,0,US,1659930449,73,39.4184,-92.4382,82.38,5.75
Sabang,100,ID,1659930449,70,5.8933,95.3214,82.33,13.6
Nioro,97,GM,1659930120,96,13.35,-15.75,73.22,3.02
Dali,68,CN,1659930450,68,25.7,100.1833,74.43,2.15
Sinazongwe,0,ZM,1659930450,48,-17.2614,27.4618,61.25,4.32
Emerald,0,AU,1659930356,42,-23.5333,148.1667,66.34,11.48
Ayagoz,15,KZ,1659930035,22,47.9714,80.4392,77.88,8.57
Lagoa,18,PT,1659930179,81,39.05,-27.9833,73.2,16.98
Kampene,34,CD,1659930451,75,-3.6,26.6667,69.26,1.14
San Felipe,43,VE,1659930451,99,10.3399,-68.7425,71.76,0.31
Korla,1,CN,1659930452,19,41.7597,86.1469,93.7,6.15
Slave Lake,0,CA,1659930434,56,55.2834,-114.769,69.78,6.91
Estación Coahuila,7,MX,1659930452,60,32.1939,-115.0017,88.66,16.53
Enid,0,US,1659930452,56,36.3956,-97.8784,86.31,10.36
Palora,65,EC,1659930453,95,-1.7,-77.9333,62.55,3.09
Kununurra,40,AU,1659930453,40,-15.7667,128.7333,91.38,10.36
Gamba,80,GA,1659930356,81,-2.65,10.0,68.85,3.89
Borzna,97,UA,1659930453,94,51.2546,32.4269,62.46,8.88
Savonlinna,20,FI,1659930454,93,61.8699,28.88,48.25,1.14
Salamiyah,0,SY,1659930090,75,35.0113,37.0532,71.62,12.68
Oberá,100,AR,1659930197,96,-27.4871,-55.1199,53.58,4.43
Evensk,96,RU,1659930073,74,61.95,159.2333,61.66,6.04
Bintulu,20,MY,1659930454,74,3.1667,113.0333,86.41,5.01
San Juan,99,AR,1659930444,83,-31.5375,-68.5364,40.14,7.9
Dingle,94,PH,1659930277,75,10.9995,122.6711,83.86,4.94
Indianola,99,US,1659930455,86,41.3581,-93.5574,80.85,8.55
Osmeña,75,PH,1659930455,76,10.5208,119.9258,82.76,12.71
Greytown,45,ZA,1659930456,93,-29.0642,30.5928,52.34,2.82
Hurricane,0,US,1659930456,22,37.1753,-113.2899,93.67,7.49
Ratnagiri,100,IN,1659930456,94,16.9833,73.3,78.37,14.54
